Profit and Loss - Compare YTD for 3 years,,,
Spirit of Math Schools Vaughan,,,
"August 1, 2025-April 9, 2026",,,

,Total,,
,Aug. 1 2025 - Apr. 9 2026,Aug. 1 2024 - Apr. 9 2025 (PY YTD),Aug. 1 2023 - Apr. 9 2024 (custom)
Income,,,
4100 Tuition,"2,094,168.52","1,980,415.42","1,747,057.22"
4110 Other income - CEBA,,,
4110.1 Canada Carbon Rebate,"6,370.00","22,624.66",
Total for 4110 Other income - CEBA,"$6,370.00","$22,624.66",
4900 Interest Income,"1,166.16",,
4930 Competitions/Contests,,,-784.67
4104 Registration Fee,,-360.00,
Total for Income,"$2,101,704.68","$2,002,680.08","$1,746,272.55"
Cost of Goods Sold,,,
5000 Cost of Goods Sold,,,
5001 Student Graduation,670.26,,
Total for 5000 Cost of Goods Sold,$670.26,,
5200 .Payroll Expense,,,
5211 Wages,"369,447.15","349,106.19","366,940.65"
5211.1 Teachers,,"2,153.34",
Total for 5211 Wages,"$369,447.15","$351,259.53","$366,940.65"
5212 CPP Expense,"43,052.93","41,395.88","42,468.96"
5213 EI Expense,"15,176.55","16,099.26","16,955.41"
5217 WSIB Expense,"1,045.80","2,242.64","1,007.28"
5219 FED.TAX,"49,362.44","52,153.45","53,963.78"
5215 Employee Benefits,,"4,464.24","13,040.15"
Total for 5200 .Payroll Expense,"$478,084.87","$467,615.00","$494,376.23"
5300 Teacher and CAA training,997.13,"2,555.60",669.63
5300.1 SMS Conference,"4,101.90","2,881.50","11,751.79"
5300.2 (e)Books,"1,213.70",626.11,
5875 Teacher training,"2,960.97",211.07,"1,796.11"
5300.4 Education,,,"2,701.82"
5300.3 Online Training,,456.84,
Total for 5300 Teacher and CAA training,"$9,273.70","$6,731.12","$16,919.35"
5410 Subcontract,"4,000.00",,"1,900.00"
5500 Credit Card Fees,,,69.50
5500.1 FirstData-Merchant Services,"4,435.07","26,207.38","43,631.34"
5500.3 CC charges,29.00,229.00,11.29
Total for 5500 Credit Card Fees,"$4,464.07","$26,436.38","$43,712.13"
5600 Rent,,,
"5605 9135 Keele Street, Unit B3/B4","92,457.34","87,781.15","91,957.24"
Total for 5600 Rent,"$92,457.34","$87,781.15","$91,957.24"
5710 Royalty fee,"278,053.03","175,740.70",
5710.2 Royalty fee - Inperson,"9,886.55","2,878.90","147,169.80"
5710.1 Royalty fee - Online,,,"26,540.84"
Total for 5710 Royalty fee,"$287,939.58","$178,619.60","$173,710.64"
5711 Service Fee,"61,129.84",,
5780 Student Handouts,"117,860.05","45,185.45","34,903.90"
"5780.1 Shipping, Freight and Delivery - COS",110.07,583.87,399.18
Total for 5780 Student Handouts,"$117,970.12","$45,769.32","$35,303.08"
5785 Teaching Supplies,"9,287.32","9,055.52","6,119.49"
5100 Materials and Supplies,,"26,192.74",219.75
Total for Cost of Goods Sold,"$1,065,277.10","$848,200.83","$864,217.91"
Gross Profit,"$1,036,427.58","$1,154,479.25","$882,054.64"
Expenses,,,
5411 Tuition Refunds,"55,821.14","36,431.59","13,805.35"
6110 Professional Fees,"30,192.14","11,497.65",
6114 Payroll Processing (Ceridian),"1,958.25","1,502.19","1,738.11"
6115 Legal Expense,710.00,650.00,"2,214.50"
6116 Accounting Fees,"6,774.42","7,143.40","5,734.75"
6120 Cleaning Service,"9,904.32","8,332.39","7,726.81"
6119 HR Profiles/Recruitment,,"1,361.39",66.82
6117 Bookkeeping Fees,,352.93,
Total for 6110 Professional Fees,"$49,539.13","$30,839.95","$17,480.99"
6200 Marketing/Advertising/Promotion,"4,729.36","9,305.44","2,450.00"
6201.2 FTC,"2,134.26","17,411.37","21,352.78"
6201 Marketing Material,"1,435.81","1,454.21","2,795.17"
6203 Mailing,"5,775.65",-118.57,624.84
6205 Kiosk Rental,"7,577.37",,
6207 Online Ads,"18,020.01","2,833.38",
6210 Community Advertisement,"11,458.20",,"7,458.00"
6209 Billboard Rental,,,"11,017.50"
6202 Space Rental,,138.70,
6204 Mobile Sign,,237.30,
6206 Event Sponsorship,,718.70,
6208 Print Media,,345.47,
Total for 6200 Marketing/Advertising/Promotion,"$51,130.66","$32,326.00","$45,698.29"
6230 Non-SMS Competition Expense,"2,819.73","1,265.25","3,032.04"
6260 Donations,"16,552.72","12,748.37","18,799.51"
6300 Automobile costs,"8,750.44","2,841.37","10,508.18"
6302 Car fuel,193.04,916.13,361.66
6309 Other Travel Cost,20.00,115.59,18.46
6305 Car Repair & Maintence,,,"1,129.95"
Total for 6300 Automobile costs,"$8,963.48","$3,873.09","$12,018.25"
6401 Office/Campus Expenses,"1,324.00","1,454.27","-5,402.09"
6401.10 Misc. Expanses,"3,473.40","2,036.19",623.67
6401.11 SMS Supplies - Student,219.17,"1,001.03","39,946.04"
6401.12 SMS Supplies - Campus,717.81,"3,671.83",720.39
6401.1 Campus Supplies,"2,308.91","3,605.85","1,177.62"
6401.2 Printer Supplies,"5,809.36","9,333.00","4,995.84"
6401.5 Photocopying,39.37,737.11,"4,017.44"
6401.6 Courier/ Postage,76.77,,
6401.8 Teaching Supplies,319.82,484.57,
6401.13 Campus Equipment,,"2,318.60",166.63
6401.14 Event,,,46.69
6401.3 Office Supplies,,-74.01,444.56
6401.9 Competitions,,,
6401.92 Non-SMS Competitions,,,83.04
Total for 6401.9 Competitions,,,$83.04
6401.15 Gifts,,"1,861.11",
6401.4 Office Equipments,,613.82,
Total for 6401 Office/Campus Expenses,"$14,288.61","$27,043.37","$46,819.83"
6405 IT Expense,"40,995.34","71,017.88","115,383.60"
6405.5 Computer Expense - Other,420.36,377.41,365.88
6405.9 Monthly service fee,100.55,230.96,225.30
6406 Software Expense,333.41,413.27,"1,265.05"
6407.2 Internet,146.89,,
6405.1 Hardware,,"1,150.04","6,988.07"
6408 Cell phone,,,169.48
Total for 6405 IT Expense,"$41,996.55","$73,189.56","$124,397.38"
6420 Finance charges,,597.93,
6420.1 Bank charges,"3,613.32","1,383.13",497.55
6420.2 Interest expense - bank,425.67,342.31,86.16
Total for 6420 Finance charges,"$4,038.99","$2,323.37",$583.71
6600 Insurance,"14,861.98","10,195.26","1,689.09"
6615 Events Expense,"1,498.60","2,768.44","1,478.34"
6650 Meals & entertainment,769.29,396.59,85.72
6690 Office @ home,"10,507.22","1,293.06",552.36
6700 Business Phone,"7,300.86","8,514.59","7,378.53"
6701 Health & Safety,11.29,52.24,
6710 Utilities,"4,329.62","4,164.80","4,568.58"
6711 Security Services,"1,226.05","1,011.34","3,727.98"
6715 Repairs and maintenance,"12,380.86","7,929.63","22,044.79"
"6720 Travel Expense (meetings, etc.)",49.82,46.84,898.93
6930 Non-deductible penalty & interest,3.00,,
6935 Corporate Tax Expense,"106,991.00","26,646.69",
6550 Fees and licences,,142.00,69.00
Total for Expenses,"$405,080.60","$283,202.03","$325,128.67"
Profit,"$631,346.98","$871,277.22","$556,925.97"



"Accrual Basis Friday, April 10, 2026 12:49 AM GMTZ",,,
